City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Coihueco,CL,2021-07-28 17:58:18,-36.6167,-71.8333,61.12,42,0,3.62
237,Robertsport,LR,2021-07-28 17:58:19,6.7533,-11.3686,78.57,70,100,11.81
238,Grand Gaube,MU,2021-07-28 17:58:19,-20.0064,57.6608,70.2,82,100,11.01
239,Maarianhamina,AX,2021-07-28 17:58:20,60.0973,19.9348,67.86,83,0,5.75
240,Victoria,HK,2021-07-28 17:57:03,22.2855,114.1577,86.32,83,72,1.01
241,Yumaguzino,RU,2021-07-28 17:58:21,52.9041,56.3933,54.46,57,1,3.18
242,Santa Cruz,BO,2021-07-28 17:54:58,-17.8,-63.1667,62.06,39,90,23.02
243,Puerto Colombia,CO,2021-07-28 17:58:21,10.9878,-74.9547,82.87,74,74,16.62
244,Staryy Nadym,RU,2021-07-28 17:58:21,65.6118,72.6842,51.96,83,63,8.23
245,Yanam,IN,2021-07-28 17:58:22,16.7333,82.2167,84.9,61,100,7.23
246,Ati,TD,2021-07-28 17:58:22,13.2154,18.3353,80.6,68,94,8.25
247,Roanoke Rapids,US,2021-07-28 17:58:23,36.4615,-77.6542,93.2,74,1,3.44
248,Bure,ET,2021-07-28 17:58:23,10.7,37.0667,56.64,97,100,3.78
249,Lozuvatka,UA,2021-07-28 17:58:23,48.0571,33.2858,81.01,50,20,7.0
250,Constitucion,CL,2021-07-28 17:58:24,-35.3333,-72.4167,58.26,40,0,3.65
251,Jurado,CO,2021-07-28 17:58:24,7.1053,-77.7641,82.18,76,95,5.5
252,Cayenne,GF,2021-07-28 17:58:24,4.9333,-52.3333,86.04,74,0,4.0
253,Quixada,BR,2021-07-28 17:58:25,-4.9714,-39.0153,95.67,27,17,6.49
254,Tahoua,NE,2021-07-28 17:58:25,14.8888,5.2692,85.98,54,20,9.22
255,Paita,PE,2021-07-28 17:58:26,-5.0892,-81.1144,77.56,69,62,14.27
256,Storebo,NO,2021-07-28 17:58:26,60.0948,5.2271,67.5,80,100,6.38
257,Ndola,ZM,2021-07-28 17:58:26,-12.9587,28.6366,48.74,51,52,3.0
258,Coaraci,BR,2021-07-28 17:58:27,-14.6408,-39.5511,80.04,32,9,1.48
259,Hobyo,SO,2021-07-28 17:58:27,5.3505,48.5268,77.79,76,88,21.74
260,Kristiinankaupunki,FI,2021-07-28 17:58:28,62.2743,21.376,67.08,76,100,4.27
261,Codrington,AU,2021-07-28 17:58:28,-38.2667,141.9667,43.16,90,25,12.37
262,Maniwaki,CA,2021-07-28 17:53:35,46.3834,-75.966,70.34,43,44,4.61
